nomi,yil,janr,reyting,distribyutor,byudjet,ichki_daromad,jahon_daromadi
The Pirates! Band of Misfits,2012,Adventure,PG,Sony Pictures,55000000.0,31051126.0,136143605.0
Aeon Flux,2005,Action,PG-13,Paramount Pictures,55000000.0,25857987.0,53913573.0
Elizabeth: The Golden Age,2007,Drama,PG-13,Universal,55000000.0,16285240.0,74870866.0
Imagine That,2009,Adventure,PG,Paramount Pictures,55000000.0,16222392.0,16222392.0
Gods and Generals,2003,Drama,PG-13,Warner Bros.,55000000.0,12882934.0,12923936.0
Bullet to the Head,2013,Action,R,Warner Bros.,55000000.0,9489829.0,22597969.0
All the King's Men,2006,Drama,PG-13,Sony Pictures,55000000.0,7221458.0,9521458.0
Thunderbirds,2004,Adventure,PG,Universal,55000000.0,6768055.0,28231444.0
Un long dimanche de fiançailles,2004,Drama,R,Warner Bros.,55000000.0,6167817.0,69759296.0
Lucky You,2007,Drama,PG-13,Warner Bros.,55000000.0,5755286.0,6521829.0
Blade 2,2002,Action,R,New Line,54000000.0,81676888.0,154338601.0
"You, Me and Dupree",2006,Comedy,PG-13,Universal,54000000.0,75802010.0,130402010.0
Seven Pounds,2008,Drama,PG-13,Sony Pictures,54000000.0,69951824.0,166617328.0
Elizabethtown,2005,Drama,PG-13,Paramount Pictures,54000000.0,26850426.0,50719373.0
The Dukes of Hazzard,2005,Comedy,PG-13,Warner Bros.,53000000.0,80270227.0,109848461.0
Black Mass,2015,Drama,R,Warner Bros.,53000000.0,62575678.0,98837872.0
Flags of Our Fathers,2006,Drama,R,Paramount Pictures,53000000.0,33602376.0,63657941.0
Grindhouse,2007,Horror,R,Weinstein/Dimension,53000000.0,25031037.0,50187789.0
Zero Dark Thirty,2012,Drama,R,Sony Pictures,52500000.0,95720716.0,134612435.0
Catch Me if You Can,2002,Drama,PG-13,Dreamworks SKG,52000000.0,164606800.0,355612291.0
The Change-Up,2011,Comedy,R,Universal,52000000.0,37243418.0,75997067.0
Bulletproof Monk,2003,Action,PG-13,MGM,52000000.0,23010607.0,23010607.0
Deck the Halls,2006,Comedy,PG,20th Century Fox,51000000.0,35093569.0,46815807.0
The Twilight Saga: New Moon,2009,Drama,PG-13,Summit Entertainment,50000000.0,296623634.0,687557727.0
Shrek,2001,Adventure,PG,Dreamworks SKG,50000000.0,267655011.0,491812794.0
Ted,2012,Adventure,R,Universal,50000000.0,218665740.0,556016627.0
22 Jump Street,2014,Comedy,R,Sony Pictures,50000000.0,191719337.0,331333876.0
Daddy’s Home,2015,Comedy,PG-13,Paramount Pictures,50000000.0,150357137.0,242757137.0
Central Intelligence,2016,Comedy,PG-13,Warner Bros.,50000000.0,127440871.0,217196811.0
Anchorman 2: The Legend Continues,2013,Comedy,PG-13,Paramount Pictures,50000000.0,127352707.0,172185754.0
Mr. Deeds,2002,Comedy,PG-13,Sony Pictures,50000000.0,126293452.0,171269535.0
Erin Brockovich,2000,Drama,R,Universal,50000000.0,125548685.0,257805243.0
Peter Rabbit,2018,Adventure,PG,Sony Pictures,50000000.0,115234093.0,347134901.0
Yes Man,2008,Comedy,PG-13,Warner Bros.,50000000.0,97690976.0,225990976.0
Non-Stop,2014,Action,PG-13,Universal,50000000.0,91742160.0,222383055.0
Disney Planes,2013,Adventure,PG,Walt Disney,50000000.0,90282580.0,238059569.0
The Emoji Movie,2017,Adventure,PG,Sony Pictures,50000000.0,86089513.0,216508301.0
"Crazy, Stupid, Love",2011,Comedy,PG-13,Warner Bros.,50000000.0,84351197.0,147142328.0
The Post,2017,Drama,PG-13,20th Century Fox,50000000.0,81903458.0,179769457.0
The Ring Two,2005,Horror,PG-13,Dreamworks SKG,50000000.0,75941727.0,161941727.0
We Bought a Zoo,2011,Drama,PG,20th Century Fox,50000000.0,75624550.0,118729073.0
Moneyball,2011,Drama,PG-13,Sony Pictures,50000000.0,75605492.0,111300835.0
Garfield: The Movie,2004,Adventure,PG,20th Century Fox,50000000.0,75367693.0,208094550.0
Christmas with the Kranks,2004,Comedy,PG,Sony Pictures,50000000.0,73701902.0,96469187.0
V for Vendetta,2006,Action,R,Warner Bros.,50000000.0,70511035.0,130214162.0
Race to Witch Mountain,2009,Adventure,PG,Walt Disney,50000000.0,67172595.0,105103784.0
Herbie: Fully Loaded,2005,Adventure,G,Walt Disney,50000000.0,66010682.0,144110682.0
Shanghai Knights,2003,Adventure,PG-13,Walt Disney,50000000.0,60470220.0,88316835.0
Planes: Fire and Rescue,2014,Adventure,PG,Walt Disney,50000000.0,59157732.0,156399644.0
Curious George,2006,Adventure,G,Universal,50000000.0,58640119.0,71052604.0
American Reunion,2012,Comedy,R,Universal,50000000.0,56758835.0,236799211.0
Hansel & Gretel: Witch Hunters,2013,Action,R,Paramount Pictures,50000000.0,55703475.0,214949716.0
I am Number Four,2011,Adventure,PG-13,Walt Disney,50000000.0,55100437.0,146195159.0
Unfaithful,2002,Drama,R,20th Century Fox,50000000.0,52752475.0,119114494.0
Resident Evil: Apocalypse,2004,Horror,R,Sony Pictures,50000000.0,50740078.0,125168734.0
The Book of Life,2014,Adventure,PG,20th Century Fox,50000000.0,50151543.0,97651543.0
The Judge,2014,Drama,R,Warner Bros.,50000000.0,47119388.0,76119388.0
Silent Hill,2006,Horror,R,Sony Pictures,50000000.0,46982632.0,94704227.0
The Replacements,2000,Comedy,PG-13,Warner Bros.,50000000.0,44737059.0,50054511.0
War Dogs,2016,Comedy,R,Warner Bros.,50000000.0,43034523.0,86234523.0
The Beach,2000,Drama,R,20th Century Fox,50000000.0,39778599.0,39778599.0
Ninja Assassin,2009,Action,R,Warner Bros.,50000000.0,38122883.0,62209892.0
Raising Helen,2004,Comedy,PG-13,Walt Disney,50000000.0,37485528.0,49928680.0
Marmaduke,2010,Adventure,PG,20th Century Fox,50000000.0,33644788.0,89895930.0
Zoolander 2,2016,Comedy,PG-13,Paramount Pictures,50000000.0,28848693.0,55348693.0
Defiance,2009,Drama,R,Paramount Vantage,50000000.0,28644813.0,52987754.0
Run All Night,2015,Action,R,Warner Bros.,50000000.0,26461644.0,66961644.0
The Life Aquatic with Steve Zissou,2004,Comedy,R,Walt Disney,50000000.0,24006726.0,34806726.0
Your Highness,2011,Comedy,R,Universal,50000000.0,21596445.0,26121638.0
Snowden,2016,Drama,R,Open Road,50000000.0,21587519.0,34841016.0
Dream House,2011,Horror,PG-13,Universal,50000000.0,21302340.0,41642166.0
Free State of Jones,2016,Drama,R,STX Entertainment,50000000.0,20810036.0,23237175.0
Gamer,2009,Action,R,Lionsgate,50000000.0,20534907.0,42002029.0
Into the Blue,2005,Adventure,PG-13,Sony Pictures,50000000.0,18782227.0,41982227.0
Drive Angry,2011,Action,R,Summit Entertainment,50000000.0,10721033.0,41042583.0
Domino,2005,Action,R,New Line,50000000.0,10169202.0,22969202.0
Early Man,2018,Adventure,PG,Lionsgate,50000000.0,8267544.0,44773318.0
The Boat That Rocked,2009,Comedy,R,Focus Features,50000000.0,8017467.0,37472651.0
The Big Bounce,2004,Comedy,PG-13,Warner Bros.,50000000.0,6471394.0,6626115.0
What Planet Are You From?,2000,Comedy,R,Sony Pictures,50000000.0,6291602.0,6291602.0
Outlander,2009,Adventure,R,Third Rail,50000000.0,166003.0,1250617.0
Shanghai,2015,Drama,R,Weinstein Co.,50000000.0,46425.0,15505922.0
The One,2001,Action,PG-13,Sony Pictures,49000000.0,43905746.0,72689126.0
Chappie,2015,Action,R,Sony Pictures,49000000.0,31569268.0,105002056.0
The Ring,2002,Horror,PG-13,Dreamworks SKG,48000000.0,129094024.0,248218486.0
Traffic,2000,Drama,R,USA Films,48000000.0,124107476.0,208300000.0
Taken 3,2015,Action,PG-13,20th Century Fox,48000000.0,89256424.0,327656424.0
Tooth Fairy,2010,Adventure,PG,20th Century Fox,48000000.0,60022256.0,112610386.0
Rat Race,2001,Comedy,PG-13,Paramount Pictures,48000000.0,56607223.0,86607223.0
K-PAX,2001,Drama,PG-13,Universal,48000000.0,50315140.0,50315140.0
Bedazzled,2000,Comedy,PG-13,20th Century Fox,48000000.0,37879996.0,90376224.0
Rambo,2008,Action,R,Lionsgate,47500000.0,42754105.0,112214531.0
Arrival,2016,Drama,PG-13,Paramount Pictures,47000000.0,100546139.0,203162211.0
Riding in Cars with Boys,2001,Drama,PG-13,Sony Pictures,47000000.0,29781453.0,29781453.0
Happily N'Ever After,2007,Adventure,PG,Lionsgate,47000000.0,15849032.0,37923818.0
Solaris,2002,Drama,PG-13,20th Century Fox,47000000.0,14970038.0,14970038.0
Jonah Hex,2010,Action,PG-13,Warner Bros.,47000000.0,10547117.0,11022696.0
Silence,2016,Drama,R,Paramount Pictures,46500000.0,7100177.0,23727516.0
Scary Movie 3,2003,Comedy,PG-13,Miramax/Dimension,45000000.0,110000082.0,155200000.0
Miss Congeniality,2000,Comedy,PG-13,Warner Bros.,45000000.0,106807667.0,213420951.0
Pitch Perfect 3,2017,Comedy,PG-13,Universal,45000000.0,104897530.0,185736412.0
Journey to the Center of the Earth,2008,Adventure,PG,Warner Bros.,45000000.0,101704370.0,243180937.0
The Bucket List,2007,Comedy,PG-13,Warner Bros.,45000000.0,93466502.0,174807445.0
The Muppets,2011,Adventure,PG,Walt Disney,45000000.0,88625922.0,160971922.0
Monster-in-Law,2005,Comedy,PG-13,New Line,45000000.0,82931301.0,155931301.0
Training Day,2001,Drama,R,Warner Bros.,45000000.0,76261036.0,104505362.0
Scary Movie 2,2001,Comedy,R,Miramax/Dimension,45000000.0,71277420.0,141189101.0
Coach Carter,2005,Drama,PG-13,Paramount Pictures,45000000.0,67264877.0,76665507.0
Underworld: Evolution,2006,Action,R,Sony Pictures,45000000.0,62318875.0,113417762.0
Coyote Ugly,2000,Drama,PG-13,Walt Disney,45000000.0,60786269.0,113916474.0
Office Christmas Party,2016,Comedy,R,Paramount Pictures,45000000.0,54767494.0,91340376.0
"Yours, Mine and Ours",2005,Comedy,PG,Paramount Pictures,45000000.0,53359917.0,72359917.0
Resident Evil: Extinction,2007,Action,R,Sony Pictures,45000000.0,50648679.0,146162920.0
Fat Albert,2004,Comedy,PG,20th Century Fox,45000000.0,48114556.0,48563556.0
All Eyez on Me,2017,Drama,R,Lionsgate,45000000.0,44922302.0,54876855.0
Last Holiday,2006,Comedy,PG-13,Paramount Pictures,45000000.0,38399961.0,43343247.0
16 Blocks,2006,Action,PG-13,Warner Bros.,45000000.0,36895141.0,65595141.0
The Ant Bully,2006,Adventure,PG,Warner Bros.,45000000.0,28142535.0,49610898.0
Johnny English,2003,Adventure,PG,Universal,45000000.0,28013509.0,163126676.0
Aliens in the Attic,2009,Adventure,PG,20th Century Fox,45000000.0,25200412.0,59551283.0
Revolutionary Road,2008,Drama,R,Paramount Vantage,45000000.0,22951340.0,79604820.0
Babylon A.D.,2008,Action,PG-13,20th Century Fox,45000000.0,22532572.0,70216497.0
The Pledge,2001,Drama,R,Warner Bros.,45000000.0,19719930.0,29406132.0
Rebound,2005,Comedy,PG,20th Century Fox,45000000.0,16809014.0,17492014.0
Dredd,2012,Action,R,Lionsgate,45000000.0,13414714.0,41467606.0
The Rum Diary,2011,Drama,R,FilmDistrict,45000000.0,13109815.0,21544732.0
Johnny English Reborn,2011,Adventure,PG,Universal,45000000.0,8406711.0,164640401.0
Miracle at St. Anna,2008,Drama,R,Walt Disney,45000000.0,7916887.0,9676497.0
Big Trouble,2002,Comedy,PG-13,Walt Disney,45000000.0,7262288.0,8488871.0
Man cheng jin dai huang jin jia,2006,Action,R,Sony Pictures Classics,45000000.0,6566773.0,76904429.0
Love in the Time of Cholera,2007,Drama,R,New Line,45000000.0,4617608.0,31077418.0
Charlie St. Cloud,2010,Drama,PG-13,Universal,44000000.0,31206263.0,48478084.0
The Interview,2014,Comedy,R,Sony Pictures,44000000.0,6105175.0,12342632.0
The Heat,2013,Comedy,R,20th Century Fox,43000000.0,159581587.0,229727774.0
Finding Forrester,2000,Drama,PG-13,Sony Pictures,43000000.0,51768623.0,80013623.0
28 Days,2000,Comedy,PG-13,Sony Pictures,43000000.0,37035515.0,62063972.0
Danny the Dog,2005,Action,R,Focus/Rogue Pictures,43000000.0,24537621.0,49037621.0
A Monster Calls,2017,Drama,PG-13,Focus Features,43000000.0,3740823.0,46414964.0
The Mechanic,2011,Action,R,CBS Films,42500000.0,29121498.0,76347393.0
21 Jump Street,2012,Comedy,R,Sony Pictures,42000000.0,138447667.0,202812429.0
Chicken Run,2000,Adventure,G,Dreamworks SKG,42000000.0,106793915.0,227793915.0
Brüno,2009,Comedy,R,Universal,42000000.0,60054530.0,138708527.0
Snatched,2017,Comedy,R,20th Century Fox,42000000.0,45852178.0,57852177.0
Here Comes the Boom,2012,Comedy,PG,Sony Pictures,42000000.0,45290318.0,73239258.0
One for the Money,2012,Comedy,PG-13,Lionsgate,42000000.0,26414527.0,36197221.0
Lord of War,2005,Action,R,Lionsgate,42000000.0,24149632.0,60437727.0
Micmacs,2010,Comedy,R,Sony Pictures Classics,42000000.0,1259693.0,11756922.0
8 Mile,2002,Drama,R,Universal,41000000.0,116724075.0,245768384.0
A Knight’s Tale,2001,Adventure,PG-13,Sony Pictures,41000000.0,56083966.0,100622586.0
The Medallion,2003,Comedy,PG-13,Sony Pictures,41000000.0,22108977.0,22108977.0
The Big Year,2011,Comedy,PG,20th Century Fox,41000000.0,7204138.0,7684524.0
Wedding Crashers,2005,Comedy,R,New Line,40000000.0,209218368.0,283218368.0
Fifty Shades of Grey,2015,Drama,R,Universal,40000000.0,166167230.0,570998101.0
Cheaper by the Dozen,2003,Comedy,PG,20th Century Fox,40000000.0,138614544.0,190212113.0
Lucy,2014,Action,R,Universal,40000000.0,126573960.0,457507776.0
Lone Survivor,2013,Action,R,Universal,40000000.0,125095601.0,149804632.0
Spy Kids 3-D: Game Over,2003,Adventure,PG,Miramax/Dimension,40000000.0,111760631.0,167851995.0
The Social Network,2010,Drama,PG-13,Sony Pictures,40000000.0,96962694.0,224922135.0
Julie & Julia,2009,Comedy,PG-13,Sony Pictures,40000000.0,94125426.0,126646119.0
John Wick: Chapter Two,2017,Action,R,Lionsgate,40000000.0,92029184.0,171370497.0
Ride Along 2,2016,Comedy,PG-13,Universal,40000000.0,90862685.0,124827316.0
Scary Movie 4,2006,Comedy,PG-13,Weinstein/Dimension,40000000.0,90710620.0,178710620.0
Get Hard,2015,Comedy,R,Warner Bros.,40000000.0,90411453.0,106511453.0
Scream 3,2000,Horror,R,Miramax,40000000.0,89138076.0,161838076.0
Dumb and Dumber To,2014,Comedy,PG-13,Universal,40000000.0,86208010.0,156553592.0
Eight Below,2006,Adventure,PG,Walt Disney,40000000.0,81612565.0,120455994.0
The Intern,2015,Comedy,PG-13,Warner Bros.,40000000.0,75764672.0,197232734.0
Ray,2004,Drama,PG-13,Universal,40000000.0,75305995.0,124823094.0
Sin City,2005,Action,R,Miramax/Dimension,40000000.0,74103820.0,158527918.0
"I Love You, Man",2009,Comedy,R,Paramount Pictures,40000000.0,72013010.0,92302502.0
Big Momma's House 2,2006,Comedy,PG-13,20th Century Fox,40000000.0,70165972.0,137047376.0
Hacksaw Ridge,2016,Drama,R,Lionsgate,40000000.0,67209615.0,168940583.0
The Mexican,2001,Action,R,Dreamworks SKG,40000000.0,66808615.0,145238250.0
The Final Destination,2009,Horror,R,Warner Bros.,40000000.0,66477700.0,187384627.0
17 Again,2009,Comedy,PG-13,Warner Bros.,40000000.0,64167069.0,139474906.0
Get Him to the Greek,2010,Comedy,R,Universal,40000000.0,61153526.0,91455875.0
Gothika,2003,Horror,R,Warner Bros.,40000000.0,59588068.0,141484812.0
Behind Enemy Lines,2001,Action,PG-13,20th Century Fox,40000000.0,58855732.0,58855732.0
Invincible,2006,Drama,PG,Walt Disney,40000000.0,57806952.0,58501127.0
Escape From Planet Earth,2013,Adventure,PG,Weinstein Co.,40000000.0,57012977.0,74156610.0
Horrible Bosses 2,2014,Comedy,R,Warner Bros.,40000000.0,54445357.0,105945357.0
The Count of Monte Cristo,2002,Drama,PG-13,Walt Disney,40000000.0,54228104.0,75389090.0
The Lake House,2006,Drama,PG,Warner Bros.,40000000.0,52330111.0,114830111.0
Predators,2010,Action,R,20th Century Fox,40000000.0,52000688.0,127234389.0
The Odd Life of Timothy Green,2012,Drama,PG,Walt Disney,40000000.0,51853450.0,55249159.0
Apocalypto,2006,Action,R,Walt Disney,40000000.0,50866635.0,121032272.0
The Skeleton Key,2005,Horror,PG-13,Universal,40000000.0,47907715.0,92256918.0
Jersey Boys,2014,Drama,R,Warner Bros.,40000000.0,47047013.0,65282732.0
A Million Ways to Die in The West,2014,Comedy,R,Universal,40000000.0,42720965.0,86778557.0
Final Destination 5,2011,Horror,R,Warner Bros.,40000000.0,42587643.0,155011165.0
Aliens vs. Predator - Requiem,2007,Action,R,20th Century Fox,40000000.0,41797066.0,128884494.0
The Water Horse: Legend of the Deep,2007,Drama,PG,Sony Pictures,40000000.0,40412817.0,103429755.0
Sex Tape,2014,Comedy,R,Sony Pictures,40000000.0,38543473.0,126069509.0
Scream 4,2011,Horror,R,Weinstein/Dimension,40000000.0,38180928.0,95989590.0
Autumn in New York,2000,Drama,PG-13,MGM,40000000.0,37752931.0,90717684.0
Paul,2011,Comedy,R,Universal,40000000.0,37412945.0,101162106.0
The Guilt Trip,2012,Comedy,PG-13,Paramount Pictures,40000000.0,37134215.0,41294674.0
Hanging Up,2000,Comedy,PG-13,Sony Pictures,40000000.0,36037909.0,51867723.0
Pay it Forward,2000,Drama,PG-13,Warner Bros.,40000000.0,33508922.0,55696705.0
Drillbit Taylor,2008,Comedy,PG-13,Paramount Pictures,40000000.0,32862104.0,49686263.0
Extremely Loud and Incredibly Close,2011,Drama,PG-13,Warner Bros.,40000000.0,31847881.0,55247881.0
Morning Glory,2010,Comedy,PG-13,Paramount Pictures,40000000.0,31011732.0,59795070.0
Get Rich or Die Tryin',2005,Drama,R,Paramount Pictures,40000000.0,30981850.0,46666955.0
Grudge Match,2013,Comedy,PG-13,Warner Bros.,40000000.0,29807260.0,69807260.0
The Nut Job 2: Nutty by Nature,2017,Adventure,PG,Open Road,40000000.0,28370522.0,57465156.0
The Musketeer,2001,Adventure,PG-13,Universal,40000000.0,27053815.0,27053815.0
Resident Evil: The Final Chapter,2017,Action,R,Sony Pictures,40000000.0,26844692.0,312825686.0
The Other Boleyn Girl,2008,Drama,PG-13,Sony Pictures,40000000.0,26814957.0,78269970.0
The House,2017,Comedy,R,Warner Bros.,40000000.0,25584504.0,31192743.0
Sweet November,2001,Drama,PG-13,Warner Bros.,40000000.0,25288103.0,65754228.0
The Reaping,2007,Horror,R,Warner Bros.,40000000.0,25126214.0,62226214.0
City by the Sea,2002,Drama,R,Warner Bros.,40000000.0,22433915.0,22433915.0
Torque,2004,Action,PG-13,Warner Bros.,40000000.0,21176322.0,46176322.0
Fantastic Mr. Fox,2009,Adventure,PG,20th Century Fox,40000000.0,21002919.0,47083412.0
Big Miracle,2012,Drama,PG,Universal,40000000.0,20157300.0,25268680.0
The Impossible,2012,Drama,PG-13,Lionsgate,40000000.0,19019882.0,169590606.0
A Thousand Words,2012,Comedy,PG-13,Paramount Pictures,40000000.0,18450127.0,20790486.0
Marie Antoinette,2006,Drama,PG-13,Sony Pictures,40000000.0,15962471.0,60862471.0
Get Carter,2000,Drama,R,Warner Bros.,40000000.0,14967182.0,19417182.0
Amelia,2009,Drama,PG,Fox Searchlight,40000000.0,14279575.0,19756077.0
New York Minute,2004,Comedy,PG,Warner Bros.,40000000.0,14018364.0,21215882.0
FearDotCom,2002,Horror,R,Warner Bros.,40000000.0,13208023.0,13208023.0
Soul Men,2008,Comedy,R,MGM,40000000.0,12082391.0,12345883.0
Pandorum,2009,Horror,R,Overture Films,40000000.0,10330853.0,17033431.0
Duplex,2003,Comedy,PG-13,Miramax,40000000.0,9652000.0,10070651.0
Extreme Ops,2002,Action,PG-13,Paramount Pictures,40000000.0,4835968.0,12624471.0
Just Visiting,2001,Comedy,PG-13,Walt Disney,40000000.0,4777007.0,16172200.0
Billy Lynn’s Long Halftime Walk,2016,Drama,R,Sony Pictures,40000000.0,1738477.0,30230402.0
Delgo,2008,Adventure,PG,Freestyle Releasing,40000000.0,915840.0,915840.0
The Hunting Party,2007,Adventure,R,Weinstein Co.,40000000.0,876671.0,7729552.0
Alex Rider: Operation Stormbreaker,2006,Action,PG,Weinstein Co.,40000000.0,659210.0,20722450.0
Red Cliff,2009,Action,R,Magnolia Pictures,40000000.0,627047.0,119627047.0
The Last Shot,2004,Comedy,R,Walt Disney,40000000.0,463730.0,463730.0
Nomad,2007,Drama,R,Weinstein Co.,40000000.0,79123.0,79123.0
USS Indianapolis: Men of Courage,2016,Drama,R,Saban Films,40000000.0,0.0,1641255.0
The Time Traveler's Wife,2009,Drama,PG-13,Warner Bros.,39000000.0,63414846.0,102332135.0
Because I Said So,2007,Comedy,PG-13,Universal,39000000.0,42674040.0,69538833.0
Frankenweenie,2012,Adventure,PG,Walt Disney,39000000.0,35287788.0,81150788.0
Serenity,2005,Action,PG-13,Universal,39000000.0,25514517.0,40319440.0
Against the Ropes,2004,Drama,PG-13,Paramount Pictures,39000000.0,5881504.0,6429865.0
Yi dai zong shi,2013,Action,PG-13,Weinstein Co.,38600000.0,6594959.0,57987299.0
The Fast and the Furious,2001,Action,PG-13,Universal,38000000.0,144512310.0,206512310.0
Sweet Home Alabama,2002,Comedy,PG-13,Walt Disney,38000000.0,127214072.0,182365114.0
Paul Blart: Mall Cop 2,2015,Adventure,PG,Sony Pictures,38000000.0,71091594.0,107650646.0
Why Him?,2016,Comedy,R,20th Century Fox,38000000.0,60323786.0,117439538.0
Water for Elephants,2011,Drama,PG-13,20th Century Fox,38000000.0,58709717.0,116809717.0
Riddick,2013,Action,R,Universal,38000000.0,42025135.0,94763758.0
The 5th Wave,2016,Action,PG-13,Sony Pictures,38000000.0,34912982.0,111336398.0
Rush,2013,Drama,R,Universal,38000000.0,26947624.0,98230839.0
Angel Eyes,2001,Drama,R,Warner Bros.,38000000.0,24044532.0,29544532.0
Joe Somebody,2001,Comedy,PG,20th Century Fox,38000000.0,22770864.0,24515990.0
Only the Brave,2017,Drama,PG-13,Sony Pictures,38000000.0,18340051.0,24181629.0
Rock Star,2001,Drama,R,Warner Bros.,38000000.0,16991902.0,19317765.0
City of Ember,2008,Adventure,PG,20th Century Fox,38000000.0,7873007.0,17831558.0
The Master,2012,Drama,R,Weinstein Co.,37500000.0,16247159.0,50647416.0
The Express,2008,Drama,PG,Universal,37500000.0,9793406.0,9813309.0
We're the Millers,2013,Comedy,R,Warner Bros.,37000000.0,150394119.0,267816276.0
Creed,2015,Drama,PG-13,Warner Bros.,37000000.0,109767581.0,173567581.0
The Town,2010,Drama,R,Warner Bros.,37000000.0,92186262.0,152566881.0
Dolphin Tale,2011,Drama,PG,Warner Bros.,37000000.0,72286779.0,96068724.0
Game Night,2018,Comedy,R,Warner Bros.,37000000.0,69001013.0,117201013.0
13 Going On 30,2004,Comedy,PG-13,Sony Pictures,37000000.0,57139723.0,97658712.0
Nim's Island,2008,Adventure,PG,20th Century Fox,37000000.0,48006762.0,101857425.0
Cop Out,2010,Comedy,R,Warner Bros.,37000000.0,44875481.0,55909910.0
The Rite,2011,Horror,PG-13,Warner Bros.,37000000.0,33047633.0,97143987.0
Space Chimps,2008,Adventure,G,20th Century Fox,37000000.0,30105968.0,67029956.0
Aloha,2015,Drama,PG-13,Sony Pictures,37000000.0,21052030.0,24935799.0
A Star is Born,2018,Drama,R,Warner Bros.,36000000.0,126181246.0,200881246.0
Gnomeo and Juliet,2011,Comedy,G,Walt Disney,36000000.0,99967670.0,193737977.0
John Q,2002,Drama,PG-13,New Line,36000000.0,71026631.0,102226631.0
Hot Tub Time Machine,2010,Comedy,R,MGM,36000000.0,50269859.0,65967750.0
Dolphin Tale 2,2014,Drama,PG,Warner Bros.,36000000.0,42024533.0,57824533.0
Collateral Beauty,2016,Drama,PG-13,Warner Bros.,36000000.0,31016021.0,85315070.0
A Man Apart,2003,Action,R,New Line,36000000.0,26500000.0,43797731.0
Reindeer Games,2000,Action,R,Miramax,36000000.0,23360779.0,23360779.0
Isn't She Great,2000,Comedy,R,Universal,36000000.0,2954405.0,2954405.0
Yip Man 3,2016,Action,PG-13,Well Go USA,36000000.0,2679437.0,157300954.0
There Be Dragons,2011,Drama,PG-13,Samuel Goldwyn Films,36000000.0,1069334.0,4020990.0
Queen of the Desert,2017,Drama,PG-13,IFC Films,36000000.0,0.0,1578543.0
Head of State,2003,Comedy,PG-13,Dreamworks SKG,35200000.0,37788228.0,38283765.0
It,2017,Horror,R,Warner Bros.,35000000.0,327481748.0,697459228.0
The Hangover,2009,Comedy,R,Warner Bros.,35000000.0,277322503.0,465764086.0
The Blind Side,2009,Drama,PG-13,Warner Bros.,35000000.0,255959475.0,305705794.0
Identity Thief,2013,Comedy,R,Universal,35000000.0,134506920.0,175361578.0
The Devil Wears Prada,2006,Comedy,PG-13,20th Century Fox,35000000.0,124740460.0,326073155.0
Horrible Bosses,2011,Comedy,R,Warner Bros.,35000000.0,117538559.0,212417601.0
Spy Kids,2001,Adventure,PG,Miramax/Dimension,35000000.0,112692062.0,197692062.0
Trainwreck,2015,Comedy,R,Universal,35000000.0,110212700.0,141123897.0
Saving Mr. Banks,2013,Drama,PG-13,Walt Disney,35000000.0,83299761.0,114962525.0
Hotel for Dogs,2009,Adventure,PG,Paramount Pictures,35000000.0,73178547.0,122357172.0
Guess Who,2005,Comedy,PG-13,Sony Pictures,35000000.0,68915888.0,102115888.0
This is 40,2012,Comedy,R,Universal,35000000.0,67544505.0,90221182.0
Sky High,2005,Adventure,PG,Walt Disney,35000000.0,63939454.0,83109359.0
The Benchwarmers,2006,Comedy,PG-13,Sony Pictures,35000000.0,59843754.0,65063726.0
Secretariat,2010,Drama,PG,Walt Disney,35000000.0,59699513.0,60376247.0
Neighbors 2: Sorority Rising,2016,Comedy,R,Universal,35000000.0,55340730.0,108758521.0
TMNT,2007,Action,PG,Warner Bros.,35000000.0,54149098.0,96096018.0
Radio,2003,Drama,PG,Sony Pictures,35000000.0,52333738.0,53293628.0
Sicario: Day of the Soldado,2018,Action,R,Sony Pictures,35000000.0,50065850.0,73285196.0
Old Dogs,2009,Comedy,PG,Walt Disney,35000000.0,49492060.0,95104304.0
Underworld 3: Rise of the Lycans,2009,Action,R,Sony Pictures,35000000.0,45802315.0,89102315.0
12 Strong,2018,Drama,R,Warner Bros.,35000000.0,45500164.0,70798829.0
Max Payne,2008,Action,PG-13,20th Century Fox,35000000.0,40689393.0,85763888.0
Resident Evil,2002,Horror,R,Sony Pictures,35000000.0,40119709.0,103787401.0
The Ladykillers,2004,Comedy,R,Walt Disney,35000000.0,39692139.0,77392139.0
The Nativity Story,2006,Drama,PG,New Line,35000000.0,37629831.0,46309644.0
J. Edgar,2011,Drama,R,Warner Bros.,35000000.0,37306030.0,84606030.0
Bounce,2000,Drama,PG-13,Miramax,35000000.0,36805288.0,53425292.0
Mile 22,2018,Action,R,STX Entertainment,35000000.0,36108758.0,64708758.0
The Foreigner,2017,Action,R,STX Entertainment,35000000.0,34393507.0,140783646.0
Closer,2004,Drama,R,Sony Pictures,35000000.0,33987757.0,116177695.0
Black Knight,2001,Adventure,PG-13,20th Century Fox,35000000.0,33422806.0,33422806.0
The Pianist,2002,Drama,R,Focus Features,35000000.0,32519322.0,111854182.0
House of Wax,2005,Horror,R,Warner Bros.,35000000.0,32064800.0,70064800.0
Adrift,2018,Drama,PG-13,STX Entertainment,35000000.0,31445011.0,57931376.0
Mirrors,2008,Horror,R,20th Century Fox,35000000.0,30691439.0,77220596.0
Queen of the Damned,2002,Horror,R,Warner Bros.,35000000.0,30307804.0,30307804.0
